config,arm,metric,mean,std,n_params
single,baseline,accuracy,-0.5818231582641602,0.5172223955827567,0
single,baseline,mse,0.5818231582641602,0.5172223955827567,0
single,baseline,mae,0.36298557817935945,0.11577611878300265,0
single,baseline,r2,0.13310606803944602,0.3617799225782207,0
single,trm_mixer,accuracy,-0.4462840914726257,0.25633034966073603,655613
single,trm_mixer,train_accuracy,-0.12540484964847565,0.05741690921039617,655613
single,trm_mixer,mse,0.4462840914726257,0.25633034966073603,655613
single,trm_mixer,mae,0.37454632222652434,0.05879647962398047,655613
single,trm_mixer,r2,0.2723448574788344,0.2716668679044106,655613
single,trm_mixer_nomix,accuracy,-0.3500705733895302,0.25479677237709975,657940
single,trm_mixer_nomix,train_accuracy,-0.2710759237408638,0.10763259352153746,657940
single,trm_mixer_nomix,mse,0.3500705733895302,0.25479677237709975,657940
single,trm_mixer_nomix,mae,0.32813660353422164,0.05287063989575748,657940
single,trm_mixer_nomix,r2,0.4527302901360434,0.17569404834295818,657940
single,trm_flat,accuracy,-0.5384463742375374,0.3822328921097423,657600
single,trm_flat,train_accuracy,-0.1593377873301506,0.07476207275438737,657600
single,trm_flat,mse,0.5384463742375374,0.3822328921097423,657600
single,trm_flat,mae,0.45180744081735613,0.12458276611273766,657600
single,trm_flat,r2,0.15256185831582245,0.3508743653252438,657600
single,ff_matched,accuracy,-0.7891615003347396,0.5511190696119134,656568
single,ff_matched,train_accuracy,-0.10536430366337299,0.054126541725651255,656568
single,ff_matched,mse,0.7891615003347396,0.5511190696119134,656568
single,ff_matched,mae,0.5462940156459808,0.17529519824347303,656568
single,ff_matched,r2,-0.19978945752566518,0.4916720261378356,656568
